MesZL	SL/HA	aBZL	HethZL		Sign Name	Unicode	Unicode Name	comment	has unicode	worthington	
557	348	220	88		DUN4 (UR-gunû-šeššig/MIR-šeššig)	U+12088 𒂈	DUN4		TRUE	FALSE	
178	108	88	202		DUR (GÚxGAG, GÚ.GAG)	U+12119 𒄙	GU2 TIMES KAK		TRUE	FALSE	
498	308	167	187		E	U+1208A 𒂊	E	E "barley", "leather", EKI, EG2 "levee", IG2, I15	TRUE	FALSE	
495	324	107	199		É	U+1208D 𒂍	E2		TRUE	TRUE	"bit", house
300	168	115	-168		EDIN	U+12094 𒂔	EDIN	also n499 báhar ("EDIN")	TRUE	FALSE	
845	583				EDURU (A×A)	U+12001 𒀁	A TIMES A		TRUE	FALSE	
897	554_84; 556_8	453			ÉGI (MUNUS.ŠÈ)	U+122A9 𒊩 & U+120A0 𒂠	SAL & ESH2		TRUE	FALSE	
356	209	76	126		EGIR	U+12095 𒂕	EGIR		TRUE	FALSE	
899	564	455	307		EL	U+12096 𒂖	EL		TRUE	TRUE	
61	32	326	147		EME (KA×ME)	U+12174 𒅴	KA TIMES ME		TRUE	FALSE	
314	174				ÉMEŠ (NE×UD)	U+1224A 𒉊	NE TIMES UD		TRUE	FALSE	
164	99	62	40		EN	U+12097 𒂗	EN		TRUE	TRUE	
870	546		-251		ÉN (ŠÚ.AN)	U+122D9 𒋙 & U+1202D 𒀭	SHU2 & AN		TRUE	FALSE	
165	054v				EN×KÁR (GÁN-tenû)	U+12099 𒂙	EN TIMES GAN2 TENU	reconstruction	TRUE	FALSE	
756	484	404	216		ENGUR (LAGAB×ḪAL)	U+121C9 𒇉	LAGAB TIMES HAL		TRUE	TRUE	actually two chars, A.LAGABxHAL in w, for "ID"
164	099c				ENME	U+1209A 𒂚	EN TIMES ME		TRUE	FALSE	
164	099a1				ENoverENcrossed	U+1209B 𒂛	EN CROSSING EN		TRUE	FALSE	
315	175				ENTEN (NE×A)	U+12249 𒉉	NE TIMES A		TRUE	FALSE	
498	308n				EoverE.NUNoverNUN	U+1208C 𒂌	E OVER E NUN OVER NUN		TRUE	FALSE	
818	541	398	62		EREN (SÍG.NUN)	U+1209E 𒂞	EREN		TRUE	FALSE	
83	49	191			ÈRIM (URU×NÍG)	U+1233F 𒌿	URU TIMES GAR		TRUE	FALSE	
612	393	247	327		ERIM (ZÁLAG)	U+1209F 𒂟	ERIN2		TRUE	FALSE	
711	472	366	331		EŠ (3×U)	U+1230D 𒌍	U U U	"30"	TRUE	FALSE	
505	325a				EŠ16 (AŠoverAŠoverAŠ)	U+1243A 𒐺	NUMERIC SIGN THREE VARIANT FORM ESH16	"3"	TRUE	FALSE	
505	325a				EŠ16 (AŠoverAŠoverAŠ)	U+1203C 𒀼	ASH OVER ASH OVER ASH		TRUE	FALSE	
210	124a				EŠ21 (TAB.AŠ)	U+1243B 𒐻	NUMERIC SIGN THREE VARIANT FORM ESH21	"3"	TRUE	FALSE	
629	325an				EŠ23	U+1244B 𒑋	NUMERIC SIGN THREE ASH TENU	"3", see MesZL n629, n505	TRUE	FALSE	
834	593	EŠ5:469	368		EŠ5(3)	U+12408 𒐈	NUMERIC SIGN THREE DISH	"3"	TRUE	TRUE	
4	002a	2			EŠ6 (AŠ.AŠ.AŠ)	U+12401 𒐁	NUMERIC SIGN THREE ASH	"3"	TRUE	FALSE	
418	261	100	59		ÉSAG (GÁ/É×ŠE)	U+120E5 𒃥	GA2 TIMES SHE	sub MesZL 495 only É.ŠE, esagx	TRUE	FALSE	
418	261	100	59		ÉSAG (GÁ/É×ŠE)	U+12092 𒂒	E2 TIMES SCHE(standard)	sub MesZL 495 only É.ŠE, esagx	TRUE	FALSE	
114	69	25	13		ÈŠE (AŠ+U)	U+12458 𒑘	NUMERIC SIGN ONE ESHE3		TRUE	FALSE	
359	214				EŠEMIN5 ("BI")	U+12459 𒑙	NUMERIC SIGN TWO ESHE3		TRUE	FALSE	
761	487	406			ÉSIR (LAGAB×NUMUN)	U+121D2 𒇒	LAGAB TIMES KUL		TRUE	FALSE	
96	308n2				ExPAB	U+1208B 𒂋	E TIMES PAP	reconstruction	TRUE	FALSE	
271	152	152a,b,c	106		EZEN	U+120A1 𒂡	EZEN		TRUE	TRUE	"sher"
271	152	152a,b,c	106		EZEN(KEŠDA)	U+1219F 𒆟	KESH2		TRUE	TRUE	"keshda"
287	162				EZEN×GÍN			U+120A7 𒂧 EZEN TIMES DUN3 GUNU pertinent?	FALSE	FALSE	
278	154				EZEN×GU4				FALSE	FALSE	
284	152_16	156			EZEN×KUG	U+120AE 𒂮	EZEN TIMES KU3		TRUE	FALSE	
274	152_9	154			EZEN×LA	U+120AF 𒂯	EZEN TIMES LA		TRUE	FALSE	
273	153				EZEN×LI	U+120B1 𒂱	EZEN TIMES LI		TRUE	FALSE	
286	157				EZEN×LU	U+120B2 𒂲	EZEN TIMES LU		TRUE	FALSE	
280	154a				EZEN×MIR			U+120A8 𒂨 EZEN TIMES DUN3 GUNU GUNU pertinent?	FALSE	FALSE	
282	152_9n		107		EZEN×ŠE			Hitt.	FALSE	FALSE	
276	153_1				EZEN×SI			uncertain	FALSE	FALSE	
281	155				EZEN×SIG7	U+120AB 𒂫	EZEN TIMES IGI GUNU		TRUE	FALSE	
279	154_1n				EZEN×Ú	U+120B3 𒂳	EZEN TIMES U2		TRUE	FALSE	
