name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
MI	𒈪	mi, me			681	U+1222A	False	E9	WI4																																							
MEŠ	𒈨𒌍	meš		plurals	754	U+12228 & U+1230D	True	ME.EŠ	ME+EŠ	EŠ17																																						
ME	𒈨	me			753	U+12228	False	100	BA13	DEŠ4	SIB	SIP	ŠAB4	ŠEB	ŠIB	ŠIP	TUBA																															
MAR	𒈥	mar			483	U+12225	False	GAR7	MARA	RAM3	WAR2																																					
MAN	𒌋𒌋	man, niš			708	U+1230B & U+1230B	True	U.U	20	AMNA2	BUZUR2	MA10	MAM	MANA	MEN5	MIM3	MIN3	MINA3	MURU8	NAŠ	NES	NEŠ	NIS	NIŠ	PUZUR2	ŠAR4	ŠARRU2	ŠUŠANA2	UTU3	WAN																		
MAḪ	𒈤	maḫ			091	U+12224	False	AL6	MAḪA	MEḪ	MIḪ	ŠUTUR	ŠUTURU																																			
MA	𒈠	ma			552	U+12220	False	PEŠ3	PEŠŠE	WA6																																						
LUM	𒈝	lum			900	U+1221D	False																																									
LUḪ	𒈛	luḫ, laḫ			494	U+1221B	False	ḪULUḪ	LAḪ3	LAḪA3	RAḪ	RIḪ	RUḪ	SUBUR2	SUGAL7	SUKAL	SUKKAL	ŠUKAL	ŠUKKAL																													
LU	𒇻	lu			812	U+121FB	False	LUG	NU12	SI6	UDU																																					
AB2	𒀖	lid, lit, liṭ			672	U+12016	False	AP2	LE8	LI8	LID	LIT	LITI	LIṬ	LIṬI	REM2	REME2	RIM2	RIMI2																													
LUL	𒈜	lib, lip, lul, nar			570	U+1221C	False	BAḪ3	PUḪ	SAR7	SULUG	ŠATAM	ŠATTAM	ŠE11	ZULUG																																	
LI	𒇷	li, le			085	U+121F7	False	EN3	GUB2	GUBA2																																						
LAM	𒇴	lam			693	U+121F4	False	IŠ12	LA11	LAMA	LIM3	LUM4																																				
LAL	𒇲	lal			750	U+121F2	False	LA2	SUR5	SURU5	ZUR5	ZURU5																																				
ŠID	𒋃	lag, lak, laq, šid, šit, šiṭ			485	U+122C3	False	AG3	AK3	AKA3	ALAL2	ALAMU2	ZADRU	ZAG3	ZANDARA																																	
LA	𒆷	la			089	U+121B7	False	ḪIR4	ŠIKA																																							
SU	𒋢	kuš, su	leather, hide		016	U+122E2	False	1/36	GUŠ	KUS	KUŠ	KUZ	SUG6	ŚU	ŠU11																																	
KUR	𒆳	kur, lad, lat, laṭ, mat, mad, maṭ, nat, naṭ, nad, šat, šad, šaṭ	lands, mountains		578	U+121B3	False	AMMA	ANUBU	GE21	ŠAT	ŠATA	ŠAṬ	ZIZANU																																		
KUN	𒆲	kun			131	U+121B2	False	KU14	KUNU	QUN																																						
NUMUN	𒆱	kul, qul			117	U+121B1	False	KUL gunû																																								
KU	𒆪	ku,qu			808	U+121AA	False	1/6	60	BE5	BI7	BID3	BIT3																																			
KID	𒆤	kid, kit, kiṭ, lil, qid, qit, šaḫ			484	U+121A4	False	BUR6	BURU6	GE2	GI2	GID	GIT	GIṬ	ŠIḪ2																																	
KIB	𒄒	kib, kip, qip, qib			378	U+12112	False	ADAMEN3	ADAMIN3	AL’AL	AL’AL2																																					
KI	𒆠	ke, ki		place names	737	U+121A0	False	GAGAR	GE5	GI5	GU14	KE	KU11	QE2	QI2																																	
KASKAL	𒆜	kas, ras, ra			302	U+1219C	False	BU2	BUŠ	DANA2	DANNA2	EŠ8																																				
KAR	𒋼𒀀	kar			590	U+122FC & U+12000	True	TE.A	GAR14	KA11	KARA	KIR8	QAR2																																			
ḪI.BAD	𒄭𒁁	kam			640	U+1212D & U+12041	True	KAM																																								
GAG	𒆕	kak, qaq			379	U+12195	False	BAN4	DA3	DU3	GAK	ḪENBUR	KA15	KAG	KAK	KAL3	KAQ	KI7	QA6	QAQ	QI6	RE12	TU20																									
KAD2	𒆐	kad, kat			108	U+12190	False	GAT2	KAT2	QAD6																																						
GAD	𒃰	kad, kat			157	U+120F0	False	GADA	GADU	GAT	GAṬ																																					
KAB	𒆏	kab, kap			148	U+1218F	False	GAB2	GAP2	GUB3	GUBU3	KAP	QAB2	QAP2																																		
KA	𒅗	ka			024	U+12157	False	BU17	BUM3	DA12	DAG5	DI9	ZUḪ																																			
IŠ	𒅖	iš, mil			357	U+12156	False	ES5	EŠ15	ŠEN6	ŠUŠ3	UKUM	WIL																																			
IR	𒅕	ir, er			437	U+12155	False	GAG gunû	ER	EREŠ3	ERI	ERI14																																				
IB	𒅁	ip, ib, ep, eb			807	U+12141	False	DAR2	DARA2	DARI2	EB	EP	IBBI	IP	URAŠ	URTA																																
IN	𒅔	in			261	U+12154	False	EN6	GIR12	INI	ISIN2																																					
IM	𒅎	im, em			641	U+1214E	False	ANIGI	DID	TUMU																																						
IL	𒅋	il			348	U+1214B	False																																									
IA	𒅀	ia			260	U+12140	False	I.A	IE	II	IU	JI2																																				
I	𒄿	i			252	U+1213F	False	NAD2																																								
ḪUŠ	𒄭𒄊	ḫuš			645	U+1212D & U+1210A	True	ḪI.GIR3	ḪIŠ4																																							
ḪUL	𒅆𒌨	ḫul			733	U+12146 & U+12328	True	IGI.UR	ḪULU																																							
ḪU	𒄷	ḫu, hu			132	U+12137	False	’U5	PAG	PAḪ3	PAK	PAQ	PUQ2	U11	USAN5																																	
ḪI	𒄭	ḫi, hi			631	U+1212D	False	’I3	TA8	ṬA3	ṬAB6	ṬIB2																																				
LAGAB	𒆸	ḫab, ḫap, kil, gil, rim			755	U+121B8	False	ELLA2	ELLAG	GEL2	GIL2	GILI2	GILI4	TUKU6	TUKUL3	TUKUR	TUR6																															
ḪAR	𒄯	ḫa, ḫar, ḫur, mur			644	U+1212F	False	ḪI x AŠ2	AR3	ARA3	ENDIBDIM	GA11	GADIBDIM	GAGIM2	GAKIM2	GIN8	GU13	GUDIBDIM	GUGIM2	GUKIM2	GUR14	ḪARA	ḪARU	SAGGAR2	UR5																							
AḪ	𒄴	ḫa, aḫ, eḫ, ḫ, uḫ			636	U+12134	False	ḪI x NUN	’A2	UḪ	UḪU	UMAN	UMUN3																																			
